UID,designer,tid,subcategory,Product Tag,Content weight,Style weight,Browse
1229,"monkeycookie,cheerlins,mithx,metalize-productions,minipie-handtodo,muso,creative26,bekkasdzines,uands","1xTndTRl,1SMo8Bik,1bPtvc1L,1IO3cbPg,1lPMup9M,1qlIaxDZ,167oP9by,1DxHgXH0,14EUhoCN","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,筆記本/手帳,項鍊/墜子,貼紙","項鍊,甜點,月,胸章,自由,黃銅,七福神,創意,design,u&s,日曆,handmade,萬用,貼紙,叔叔與妹妹,真皮,2014,限量,純銀,手工,禮物,筆記,禮品,黑白,設計,隨身,動物,便利,飾品,客製化禮物,日誌,新年,赤毛族,耳環,鳥嘴夾,u&s叔叔與妹妹,可愛,好朋友,手作",0.177711825422,0.822288174578,"1L0c6rRo,1EIWzN5_,1tRblW3T,1NMRBcVu"
1230,"touch-and-catch,angoods,ms-spider,onewayworkshop,ilakoa,boytricks,minimelife,ckoshxcko,funmay,duckplayground,wellmade-craft","1CfpNf38,1yKk21J3,1dPHAkYG,1OW4p0mh,11pDD3GC,12YkbGQC,1TZDjsF9,1ZgTDEow,1GKwBu4u,1zNQ57we,1UTMHzh9","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,手鍊/手環","針織,日系,植物,黃銅,動物園,可愛,飄移髮夾彎,髮束,長夾,原宿,handmade,zoo,可客製,胸針,ⓒ布製三角鈕釦,純銀,限量款,個性,手工,禮品,手工皮革,crochet,生活小物,復古,項鍊/墜子,耳環,編織,design,joy,牛皮,手作",0.851241851699,0.148758148301,0
1231,"hauteforet,lyla-silver-accessories,rouma","12ndtKaF,1sTbOylQ,1teDnyFf","胸針,項鍊/墜子,髮飾","頸鍊,韓國流行頸鍊,項鍊,黑色項鍊,handmade,編織,編繩,design,髮夾,胸針,獨家設計,friendship,流行飾品",0.614453884415,0.385546115585,0
1232,"solasolo,idojewel,intheforest,itsocool,yasminyu,monocircus,justknitting,arielsbouquetandbear,god-leading,viatorshop,stab,femmezecret,sonrisa-n,bywe,x-blind,koo-koo,littlebrilliantdays,napakas,whosthatshop,kenart","1BfvHlov,1qNTl3c6,1dXSkRaf,1kKTRL9I,1ULN89e3,1TesohBb,1bSLit6D,1d5fG0uk,166ThESZ,1yGfASQF,1ewHRcGJ,1Y_KuC7X,1l1NEFgP,1u4eb8z9,1y2eoGjr,1syfks1u,1D1CzZg8,1BuOFDbY,13l76lJj,1PdfoInm","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,燈具/燈飾,胸針,耳環,項鍊/墜子,貼紙","cute,半寶石,鑰匙圈,創意,金屬鏈,客製化禮物蕾絲,animaljewelry,無季節性,花冠與手腕花組合,撞色,貼紙,燈具/燈飾,情人節禮物,優雅,狗狗的...,限量款,髮飾,colorful,設計,k金,studearrings,皮質,手鐲,polkadot,耳環,復古,手作,設計師,項鍊,香港設計,design,女孩禮物,收藏品,pastel,手工,香港,性感,earrings,頭飾,香水,生日禮物,髮夾,聖誕節,illustration,婚禮紀念,客製化禮物,男孩禮物,紅石榴石,luck,膠珠,天然,飾物,可愛,chevron,独角森林,3d打印,吊咀,粉色,胸針,限量,ladybug,個性化,禮品,可調節,金屬,獨家販售,原創,生日,fashion,墜子,銅線,accessories,寶石,天然石,情人節,hongkong,handmade,工藝,animal,首飾,designer,珍珠,獨一獨二,超纖猄皮,jewelry,禮物,編織",0.203139310041,0.796860689959,1auUW5O2
1233,"soandso,silverbreeze","1Ie9nfx3,1pbQTlvB","胸針,項鍊/墜子","禮物,配件飾品,人物設計,簡約,項鍊,禮品,silverbreeze,毛氈布,handmade,雪花,長鍊,青古銅,design,胸針,可愛,簡單,手作",0.775195208668,0.224804791332,0
1234,"hammer1000,about-dream,jo2handmade,sylvia168520,timbeelo,kazuharinnu,littlered,twelveeighteen,msa-glass","1Ta8ybCZ,1yNeCEO3,1amkGXPf,1sVWhhoG,1lHJDKVy,1PmEJNZS,1Onplcoy,1LV8P7Jx,1x7EE8Kw","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,手鍊/手環,項鍊/墜子,其他7","耳環,art,項鏈,貓頭鷹,項鍊,秋天,鑰匙圈,創意,海軍風,design,浪漫,客製化,情人節,朋友禮物,kawaii,工藝,刻字,簡約,手工大腸圈,水杯,蝴蝶,帆船,handmade,イラスト,客製化禮物,童話系列,親子款,動物系列,illust,缶バッチ,色彩,限量款,文化,vintage,手工,禮品,設計,illustration,925純銀,貓咪,canbatch,深情,粘土,古典,夏天,女生禮物,japan,標本,禮物,卡通系列,客製,手鍊,叢林系列,original,大理石紋,復古,natural系列,可愛,狼,手作",0.432063298661,0.567936701339,"1fnjPTcx,1DD1XMuE"
1235,"touch-and-catch,jodie-34,mithx,baby-catalog,nestonhead,cledran,a-piece-of-plastic,metalize-productions,emmaaparty,hamsshoes","1r9_hQw1,1OvkEu9F,12ZgeOg3,1MwiHXDR,1fk8knlv,1PrbTAoq,1LZvMCjb,1nOLCpNR,1jvobqZe,1xad77KB","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,肩背包/斜背包,胸針,髮飾,項鍊/墜子,童鞋","學步,創意,牛皮皮革,handmade,plastic,可愛,胸針,飾品,限量款,保暖,手工,項鍊/墜子,禮品,設計,bear,brooch,手工飾品,แฮนด์เมด,thailand,925純銀,客製化禮物,เข็มกลัด,禮物,髮簪,童鞋,室內鞋,耳環,寵物,design,emmaaparty,手作",0.286084596613,0.713915403387,0
1236,"ricamo-accessori-poco,mittag,atelier-de-mima,cathy0914520","1KT4iKDR,1nnTbUOw,1nLambw8,14Fwh6bf","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包","刺繍,ブローチ,手工,natural系列,禮品,handmade,brooch,設計,創意,design,embroidery,髮飾,jellyfish,クラゲ,純銀,手作",0.989083341765,0.0109166582354,"1CP69DY5,1B1ChPzj,1kiRUFx7,14bS43L5"
1237,"peichung,bettyandryan,inshandmade,minsworkshop,think-if,pulmonico-fuyu,emerald3,msa-glass,idojewel,aposo","1FP4odx3,1CeU5mRS,1jtPMGgj,1zTVFh4h,1uzChjT8,1mArzMgx,17NUBv_C,1AMhLeQL,1ljvmZT5,1LeF3xKc","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,其他7,髮飾,蛋糕","項鍊,甜點,05.環保玻璃小物,創意,peichung,design,徽章,客製化禮物蕾絲,華麗,情人節,ribbon,巧克力,簡約,handmade,復古,胸針,優雅,祖母綠了,手工,刺繍,禮品,手工皮革,設計,925純銀,古典,強化環保玻璃吸管,silver,牛奶,皮革,禮物,幸福,皮忠,leather,蛋糕,可愛,手作",0.615584358577,0.384415641423,1CjGd8jt
1238,"uka,muri17,beingoflove,goforest,edithjaz,torinoko,itsocool,bffaccessories,bunnylovessucculents,jo2handmade,birdink","1awyuA6N,15f4trTR,1rHqUlpl,1v_vkDfk,106owcdy,1I7eQHd7,1Tgkg1TL,1J6xXsp9,15GhfzZ9,1JeHKM9K,1l1RgZ59","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,其他3,項鍊/墜子,花器/花藝/植栽,髮飾,卡片/明信片","髪夾,lace,墜子,項鍊,鄉村,birdcage,浪漫,鑰匙圈,創意,design,黃檜,生日石,創意茶卡(造型吊卡),ピンバッジ,jaz,台灣,蝴蝶,edith,龍柏,white,handmade,蝴蝶結,鏡子,降真香,面紗,髮飾,胸針,earrings,bridal,頭飾,beingoflove,手工,白色,手繪,髪箍,海藍寶,設計,三月,頭紗,造花,動物家族系列,wedding,veil,headpiece,禮品,項鍊/墜子,禮物,鳥,明信片,原創,耳環,手工髮夾,給...喜歡旅遊的你。,原創設計,手工皮雕,牛皮",0.89493313912,0.10506686088,"1JN5o4pq,17zZR7YF"
1239,vicwang,1uuJFsbt,胸針,胸針,0.375133883494,0.624866116506,0
1240,"peopletutu,lin28202,alma-handmade,universe-girl,lus-silver,touch-and-catch,716zakka","1SzM_lhR,1q7JAr7n,1C08znAt,1RIwcmJu,1sxfCBTd,1w9FjuRr,1uGcNDLR","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,淺碟/盤子/餐盤","項鍊/墜子,簡約,手工,禮品,耳環,handmade,設計,髮飾,胸針,淺碟/盤子/餐盤,客製化禮物,純銀,手作",0.459835519788,0.540164480212,"1bXYSqiY,1MV8Bw9E,1G9_0WW7"
1241,"googoods,journal,lisablue1114,dearu,cami-handicraft,remus,pickers","14js_nLt,1ocY84z5,1okQSdMJ,1orkNwIA,1b_vH9Ka,1a9US_ET,18f06teh","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,項鍊/墜子,耳環,牆面裝飾/壁貼","貝殼珍珠,男朋友,鑰匙圈,design,聖誕,撲克牌,愛,情人節,玉瓍瑪瑙,##髮簪髮釵髮梳,琉璃蛋白石,handmade,不鏽鋼,純銀,限量款,氣質,聖誕節,配件:黃銅,禮品,手工皮革,設計,愛心,我來自宇宙,月曆,復古,簡約,禮物,幸福,古風華麗,2000,紀念日,生日,手作,好朋友,925,女朋友,貓眼石",0.226173249783,0.773826750217,"18r_3ZLW,1vRd3m1o,1M1QUiIG,1ETZ6asJ"
1242,"simon-handworks,kolloma,mshowfan,tastelife,vingt-six,somethingsimple,medo-emamel,rabbitact422,earthtree,dooors,iammissj,jo2handmade,gg-original","1u1VkvmY,1Jt3SYWy,1HXXUQpi,1gXGh9om,1JXvtnqo,1BcJa2wd,1tKLSkU5,16rQ2KX1,1dI3goXc,11MFDoQ9,1tfApq1l,1HbIIst6,1yWMHRm8","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,公事包,胸針,項鍊/墜子,名片座/文件夾,髮飾,耳環,鑰匙圈/鑰匙包,針織羊毛氈材料","玫瑰金,項鍊,鄉村,居家品味,自然,創意小物,創意,design,duck,乾燥花,名片座/文件夾,natural系列,vintage,好煩小姐,handmade,森林系,花,simple,胸針,限量款,天空,珍珠,手工,禮物,葉,可客製名字生日星座,設計,黑,獨一無二,動物,復古,鑰匙圈,吊飾,natural,水晶,耳環,幾合,leather,swarovski,原創設計,髮帶,髮夾,手工皮雕,可愛,牛皮,鹿,手作",0.730264141715,0.269735858285,"1RMZrPsj,1oZkv2ju"
1243,"bluebirdfelt,ses-handmade-silver","1R2cciBi,12IQp0zc","胸針,項鍊/墜子","禮物,ses,聖誕節,項鍊,禮品,handmade,設計,silver,純銀,手作",0.907109429093,0.0928905709074,0
1244,"doraj,justknitting,sweethouse","1krTU2Km,1hdwWdeZ,152lU0H9","胸針,項鍊/墜子,髮飾","cute,膠珠,墜子,項鍊,elegant,創意,design,銅線,吊咀,幸運,colorful,香港,handmade,情人,限量款,coffee,手工,法國夾,禮品,設計,愛情,客製化禮物,禮物,閃亮,友情,編織,可愛,生日,手作",0.0524366969211,0.947563303079,0
1245,"qucky,alikochenjewelry,fachic,k-a-design,solasolo,dorispainting,2handswaltz,lisasnail,qtpiworkshop,rotvintage,operaxglass,hstuffroom,sofia-handmade","1XeiKsRI,1r_P3ZjZ,1Qy7ttPh,1VJOVter,1wjn7lCt,12YObHVa,1GRisMA0,1aPbPyEv,117L2oYF,1Aeg7MbN,1GGTtldm,1YyRvlN8,1s1m7YaH","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,耳環,胸針,項鍊/墜子","handmade限量款,耳針,項鍊,自然,鎖匙包,婚攝,創意,design,qtpiworkshop,奶奶,浪漫,婚紗,情人節,民族風,婚禮,聖誕節,聖誕優惠,*45cm短鏈,handmade,懷舊,鑰匙圈/鑰匙包,花,波西米亞,仿真甜點,胸針,優雅,樹懶,蕾絲,限量款,個性,cozy,手工,thehappyprince,禮品,畢業,嬉皮,設計,*300元交換禮物,雞蛋形,動物,key,北歐,花圈,阿嬤,客製化禮物,禮物,胸章,耳環,奇幻,愛生活,限量,別針,american,復古,vintage,野餐,古著,生日,手作,波希米亞,長洲",0.235267126437,0.764732873563,"1mDItllF,1CnDI9Cr"
1246,"xeniadesign,silverbreeze,themamascloset,fansgood,migu,warm-garden,64design,ostaratokyo,tfs,arielsbouquetandbear,quaili","1XVTkKsj,1c4vMmFe,1Jyz6Qge,1hqK7_K3,1awfiueU,1lXURytD,1AlrF4BR,1m2AJ9Uj,18BQVfGd,1qprahog,18KpAa8q","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,手鍊/手環,項鍊/墜子,其他7,髮飾,咖啡杯/馬克杯","客製化,小物,項鍊,simple,簡單,鑰匙圈,貓,精緻,可愛,華麗,戰國,情人節,插畫,簡約,handmade,青古銅,髮飾,飾品,居家,紅色,限量款,氣質,金色,不凋花,手工,項鍊/墜子,禮品,silverbreeze,設計,basara,小禮物,長鍊,別緻,陶杯,客製化禮物,大紅色,禮物,零錢包,手鍊,新年禮物,創意,花冠,純銀手鍊,喜氣,design,生日,手作,銀飾,韓國設計,髮帶,花禮",0.509273305949,0.490726694051,"10MwAozY,1J6xOP9_"
1247,"3rd-partycookie,defy,angeles,wahr,iohll,takeold00,greenrocktw,mulberryst,faunsvintage,midnightgreen,r1476,sincity,noveltylane,yuzukis,atozcollection,xuxuwear","1Uob5NBy,14jmPrTk,1CwNVuRm,1EZuyHBF,1KYmNtAl,1oU09zOB,1rbzYHph,1hIrgoF_,1gbxgdn7,10mYoivy,1G_Ha9Pj,1E9WBBRM,1k4Zm8H9,1kfnJ6tt,1ouztbtm,1qwx0Fo9","外套/大衣 (女),項鍊/墜子,裙子,針織衫/毛衣 (女),襯衫 (女),外套/大衣 (女),項鍊/墜子,裙子,針織衫/毛衣 (女),襯衫 (女),外套/大衣 (女),家具,項鍊/墜子,裙子,針織衫/毛衣 (女),裙子","rocker,shop,gold,rockker,帥氣,創意,adjustable,北歐風,網上購物,human,gold-plated,style,簡約,黃銅耳環,朋克,懷舊,芳,限量款,氣質,拍照,獨特,個性,多肉,骨架,設計,中國風,黃銅設計,unique,時尚,中性,休閒,攝影,gift,手鐲,leather,攝影棚,rock,異國風,手提包,耳環,art,解剖學,項鍊,傢俬,擺飾,戲劇,design,獨特耶穌,牙齒,文創,jewelry,fang,男女皆可,古物,環,hipster,鄉村風,noveltylane,咖啡店,純銀,槍,手工,無印良品,風格,古董,pendant,家具,修身,文創市集,頭骨,lomo,natural系列,古著,垂飾,手作,咖啡館,手造,黃銅,飾物,黃銅設計頭骨,母女裝,可愛,裙子,toy,hippie,unisex,錨,top,工業風,長袖,雜貨,法式,市集,loft,動人的,禮品,手工皮革,zakka,心臟,兔,復古,家飾,women,西裝,鳥,園藝,原創,手工製造,fashion,牛仔,潮流,modern,骰子,黑膠,網上時裝,針織衫/毛衣 (女),簍空,網上商店,設計襯衫,handmade,accessories,外套,露肩,首飾,handcrafted,輕食,beauty,道具,teeth,玩具,anatomy,hiphop,親子裝,brass,metalwork,手製,man,禮物,襯衫,香港,造型,tooth,vintage,necklace,上衣",0.03446527844,0.96553472156,1ZHpZvqA
1248,zucco,1HrsayS6,胸針,"handmade,dog,手作",0.597358853872,0.402641146128,"1D3BMv5s,1EnUn535,1eEnpf4I"
1249,ponchise,1MOB5hEL,胸針,可愛,0.402938762629,0.597061237371,"1RO6WTYm,1tZKqtj3,1fjf0Krx,1yI9KMv1"
1250,"uka,ccs,handmadebysherrychan,homoodesign,element,specialu,gudea,dooors,red-cheeks,otto,vintage,regolith-f,mshowfan,red-cheeks,remus,hauteforet,kingandsharlene,moshimoshi135","13XpJszm,11E3bGnt,1H3TQQhg,1KnMpM4N,1kKfCnUu,1Jdqpe5G,1UAO0izB,14dtgvmo,17JfZEXW,1LiBSIAE,1wek2d3k,1vUbx0le,1uOctpsE,1iyELnlT,1ciKdNiE,1wSnubtL,1D0huT1e,1w3ANxXv","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,化妝包/雜物包","七夕,髮圈,翠綠,耳環,客製化,項鍊,鄉村,文藝,下午茶,男生禮物,鑰匙圈,創意,西裝男,輕熟瀏海夾,b01項鍊,金牛座,包裝,手工,咖啡,文創,母親節,簡約,創意商品,。節慶：情人節,好煩小姐,handmade,幾何,乾燥花,情人節禮物,20151206聖誕節禮物,新郎配件,飾品,鋼鍊,純銀,生日禮物,限量款,文化,獨特,可愛,聖誕節,領帶夾,包包,禮品,胸針,情人,古董,設計,森林系,流行配件,動物,愛情,古著,a04合金,輕熟自動夾,短項鍊,客製化禮物,時尚,禮物,design,natural,八卦,男士西裝,量身訂作,溫馨,貓,送禮,別針,摺紙,復古,美食,鏤空,領帶,髮帶,手作",0.145462660868,0.854537339132,"11bfTy1V,1ixEpSL1,1eANJFDz,1g45eZxr"
1251,"shitamachi-lab,zakkazoo","1SVEe3Zg,1Xf6RyiV","胸針,項鍊/墜子","ブローチ,手工,どんぐり,handmade,設計,acorn,１点もの,手作",0.977670850034,0.0223291499665,1e8A4s6e
1252,"zucco,oceanandisland,play-zakka,mumusweety,fazjewelry,myfabricplayground,dream-designs,yinke,yayoi-kusama","1It6hr1P,1mjU9OYS,110Yn9U6,1Y2cerm9,1RG2C49R,1Rn7fstM,1YJQ9zjb,19X8kXav,1cwCNVsR","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,耳環,項鍊/墜子,卡片/明信片","玫瑰金,女士禮物,心心相印,大腸圈,永恆,約會,貓耳環,貓,design,愛,情人節,幸運,簡約,香港,handmade,女性朋友禮物,心心,優雅,情侶,雪貂,生日禮物,氣質,手工,項鍊/墜子,台灣製造,設計,女朋友,愛情,卡片/明信片,精裝,禮物,白金,幸福,時尚設計,心形,耳環,怪怪貓,創意,無限,女朋友禮物,高貴,紀念日,優雅大方,情人禮物,手作",0.59521957856,0.40478042144,"14guwEKP,1xnTRewf"
1253,"masaewada,dfordottie,gokudera,hireindeer,lskiln","1KpmZYKT,123vO0uy,1yoOQnmj,1ZUaRBso,18XCzuuJ","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,陶器/陶飾","accessories,創意,可愛,jewelry,crystal,荷包蛋,handmade,embroidery,限量款,手工,nature,food,brooch,illustration,設計,handembroidered,design,mineral,madeinjapan,小碟,miniature,日本製,reindeer專屬",0.0102714835078,0.989728516492,"1TDQxjaX,1s8GY5JN,10cpDLSh,1z5b2mWs"
1254,dorispainting,1igRvmWN,胸針,"設計,手作",0.443899674765,0.556100325235,1IPdwRdF
1255,"cyranodesalinian,lachriselle,azusa1277,chrimi525,lerosearts,natural-inventor,edie,monna","17z76uTK,1LGq3kEK,1viJxtbx,1hxKDIzl,1bBVyKLJ,1yQfSjpu,1R9IzDnu,17Yimt1C","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,項鍊/墜子,胸針,其他1","mini,礦石,貓頭鷹,銀,聖誕禮物,sterlingsilver,decoration,earring,創意,design,日式布花,貓頭鷹鑰匙圈,和風髮飾,日本花簪,999銀,和服,handmade,貓頭鷹鑰匙包,花,情人節禮物,浴衣,minimal,生日禮物,限量款,日本,手工,禮物,禮品,交換禮物,brooch,設計,手作鑰匙包,silver,簡約,つまみ細工,gift,耳環,christmas,miniature,貓頭鷹吊飾,純銀,obsidian,布花,手機包,黑曜石,手作",0.125335820294,0.874664179706,0
1256,"greenmissroom,greenrocktw,mithx,mujing,emerald3,hauteforet,duckplayground,yoshi850,kimmijunior,giraffeby,twine,nekohands","1tx5heu9,1myO_ZCo,1aR6nsZ2,1jGRwmPj,1tLjRI8x,1RdOCpeM,1NDaejXy,11jpV8Qw,1xgwEXhp,1lAf0mUa,1TaTLdiX,1b3wOglx","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,平板/電腦保護套,髮飾,貼紙,鑰匙圈/鑰匙包,客製娃娃","項鍊,狐狸,熊,鑰匙圈,黑瑪瑙,平安,design,天然石,森林系,月份石,貴人,簡約,handmade,鑰匙圈/鑰匙包,客製娃娃,胸針,貼紙,純銀,療癒系,手工,小王子,設計,動物,狗,髮飾組,玫瑰花,髮簪,禮物,耳環,財富,別針,柴犬,手作",0.118842045579,0.881157954421,0
1257,"dnsdesignoriginal,edithartjewellery,formless","1GlBTam3,1xIQYCAw,1lYC1Dly","胸針,項鍊/墜子,髮飾","仰角,玫瑰金,classical,方形,創意,可愛,smallpiece,枕形,信心,jewelry,handmade,elegance,rosegold,紫水晶頸鍊,amethyst,優雅,頭飾,純銀,限量款,amethystnecklace,elevation,手工,禮物,禮品,15""necklace,設計,cushion,15""頸鍊,unique,天然半寶石,小小的珠寶,gemstones,紫水晶,classicalelegance,雅緻,rosecut,design,confidence",0.570765786227,0.429234213773,"1kVuHiIE,1MxE8C9g,1bRdS2_l,1s2iaU5S"
1258,"monkeycookie,birthmark,mshowfan,1day1bag,cutfing,mithx,medo-emamel,oldnewlady,emerald3,relzplay,hoe,thefishofart","1EzonLSt,1Yb4A062,1QGb2eRK,1xU8iDJD,1RLN1LNu,1bPIADtT,1tiGaswI,1V4kIYV9,1sWrjFjY,1hoZtSKz,1gi9I080,1pNahyH1","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,髮飾,胸針,戒指,項鍊/墜子,項鍊/墜子,髮飾,卡片/明信片","彩虹,北海道,項鍊,house,胸章,birthmark,鑰匙圈,黑瑪瑙,創意,design,天然石,客製,hokkaido,古董花,平安,貴人,小房子,好煩小姐,handmade,客製化禮物,wood,情人,飾品,月份石,red,手工,禮物,禮品,拼貼,單人房,設計,胎記雀斑,卡片/明信片,single,信封,皮革,髮簪,財富,七巧板,水彩,可愛,手作,髮帶,陶土",0.390259642709,0.609740357291,"1YmcCnhB,1MwJevAZ"
1259,"peopletutu,boogiecat","1HjR4qK3,1RKBaHP2","胸針,項鍊/墜子","handmade,手工製作,葉子項錬,水晶珠,胸針",0.655021995754,0.344978004246,"13hGoKiC,1SW2Qb9B,1FjrK78q"
1260,"lostnfind,od-bear,shinkaron-starter,muodesign,omyway,hachu,remus,sillyhandmade,hm2,oshi","1ekxYyEq,1SlIT4mS,1R3TBwDF,1N_O6wWL,1sWctpx1,1KLOdbMd,1lOFldfu,1zjHqegH,1EO0SvCX,1r1d029u","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,陶器/陶飾,髮飾,便條紙","田園,耳釘,雪人,押花,壓花,彩色,和風,马,鑰匙圈,飾物,創意,动物,halloween2015,童年,法鬥,japan,情人節,滿天星,horse,母親節,手工,雪珠花,木製,handmade,馬,うま,花,森系,animal,胸針,陶屋,純銀,diy,omyway,日本,聖誕節,禮物,乾花,情人,設計,掛心便條紙,巴黎,復古,禮品,婚禮小物,項鍊/墜子,design,collar_pins,愛家作,耳環,擺飾,清新,玻璃,paris,首飾,白兔,可愛,生日,鑽,原創,手作",0.964559374233,0.0354406257671,"1WO7R20C,1dq3d9KE,1rlL01Pn"
1261,uponhandmade,1WcafESk,胸針,"レジン,ピラミッド,樹脂,handmade,ブローチ,手作",0.711530479333,0.288469520667,1_tWe0q5
1262,"noble_bunny,dollysdrawing,annys-workshop,god-leading","1eIyNbYh,1vP6YR4b,1SetibJO,1VOl7VdD","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包","限量款,禮物,獨家販售,木製,獨一獨二,handmade,積木,玩具,鑰匙圈,男孩禮物,胸針,限量,手作",0.179234733512,0.820765266488,0
1263,yu-erin,1PAciGSX,胸針,胸針,0.196128992263,0.803871007737,"1cDpj4LN,1PVohfk5,1gUa99Np"
1264,"manmade,toutan,rarapupu,iammissj,moclen,33mm,alikochenjewelry,gracefulhandmade,sippingcreative","1JeK0xgS,1aQ3m1C-,1gm6GWNT,1NL7IS_3,1ubnfVuA,1jXHKMxV,1vJyR5VI,1dRG_w9o,17JsCpsH","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,化妝包/雜物包,胸針,項鍊/墜子,男鞋","耳環,レジン,可愛,甜心,情人節,母親節,香港,hongkong,handmade,鑰匙圈/鑰匙包,手作包,胸針,動物系列,優雅,限量款,アクセサリー,手工,包包,畢業,ハンドメイド,交換禮物,設計,accessory,fruit,防潑水布,多口袋,化妝包,乾果,樹脂,春節,resin,design,生日,內袋,滴膠,手作",0.019594131506,0.980405868494,"1n3z4VP_,1mhwjw47"
1265,"peopletutu,64design,amily-life,lovevilla,mimi-secret,momobunnyhandcraft,glorikami","1FLv22H3,1ylILxFZ,1kjmA81D,1b7sc3S7,1mJrbzMh,1kCeZlhM,1IRIAFDg","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,耳環","[heartyseries],cute,羊毛氈,項鍊,鑰匙圈,貓,可愛,情人節,pink,jewelry,cherry,handmade,蝴蝶結,對鍊,真皮,扣針,胸針,飾品,純銀,貓咪,金工,earrings,cool,貓貓,耳環,design,銀飾,手作",0.0835126040278,0.916487395972,"1YpmDXbi,1fk66QNq,1fFutlV3"
1266,hauteforet,12ndtKaF,胸針,胸針,0.980533698047,0.0194663019535,"1IpMaU3M,1NWzp3wN,1jJt8up6"
1267,yu-erin,17nAX48C,胸針,胸針,0.261384844771,0.738615155229,"19LCwgUb,19X9M5AS"
1268,"greenmissroom,ar-angle-ar,tfs,imlneslune,fansgood","1tx5heu9,1JhgoCYL,1EYpBUFK,1g5xXJ2R,1xHU8bjh","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,手提包","客製化,項鍊,白珍珠,黃銅,鑰匙圈,創意,手環,design,手提包,女生,森林系,情人節,婚禮,簡約,日本珍珠,handmade,leathergoods,不凋花,胸針,母貝,限量款,療癒系,珍珠,手工,皮革,禮品,手工皮革,設計,動物,狗,brass,客製化禮物,禮物,吊飾,leather,手鍊,別針,natural系列,柴犬,復古,可愛,鋯石,手作",0.444043946616,0.555956053384,"16OFz2su,1Oct9JZH"
1269,"lostnfind,designapt,lisasnail,handboycc,gracefulhandmade,vicwang,foldboat,oletas-garden,angkukuehgirl,kellys,zucco,dream-designs,lisablue1114,nadia,snupped","1PVuhDKV,1MZMozka,1QgLr1Ly,1NGcoKlV,10AfV3a9,1uuJFsbt,1gGxtcMJ,1EnO4Pzt,1EGpPvfO,17XW0VxO,1X1Zr3eZ,1VsmmFkZ,1q92UT2W,11KAkVzQ,18IDlcKo","胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,耳環,胸針,項鍊/墜子,髮飾,鑰匙圈/鑰匙包,電腦包","貝殼珍珠,handmade限量款,女士禮物,項鍊,限量款,磷灰石瑩石,創意,design,客製化,愛,情人節,朋友禮物,防水,簡約,香港,natural系列,琉璃蛋白石,handmade,女性朋友禮物,胸針,優雅,筆電包,純銀,生日禮物,造型項鏈,客製化禮物,電腦包,個人化,手工,禮物,配件:黃銅,手繪,知性,手工皮革,設計,925純銀,復古,禮品,皮革,懷錶,leather,collar_pins,女朋友禮物,多種變化,量身訂做,##髮簪髮釵髮梳,粉色項鍊,翡翠,可愛,鉤織,優雅大方,女朋友,手作",0.631934540381,0.368065459619,"13yJKF_c,1W5RwL7s"
